Year,Municipio,GeoCode,Value
2001,,,59.67
2001,Abla,4001.0,40.48
2001,Abrucena,4002.0,35.45
2001,Adra,4003.0,62.86
2001,Albanchez,4004.0,34.26
2001,Alboloduy,4005.0,59.2
2001,Albox,4006.0,63.36
2001,Alcolea,4007.0,51.99
2001,Alcóntar,4008.0,33.02
2001,Alcudia de Monteagud,4009.0,18.58
2001,Alhabia,4010.0,64.67
2001,Alhama de Almería,4011.0,57.7
2001,Alicún,4012.0,61.84
2001,Almería,4013.0,53.37
2001,Almócita,4014.0,66.93
2001,Alsodux,4015.0,68.24
2001,Antas,4016.0,64.51
2001,Arboleas,4017.0,81.5
2001,Armuña de Almanzora,4018.0,57.95
2001,Bacares,4019.0,30.77
2001,Bayárcal,4020.0,58.85
2001,Bayarque,4021.0,36.67
2001,Bédar,4022.0,65.19
2001,Beires,4023.0,57.24
2001,Benahadux,4024.0,70.24
2001,Benitagla,4026.0,16.07
2001,Benizalón,4027.0,25.51
2001,Bentarique,4028.0,43.35
2001,Berja,4029.0,56.71
2001,Canjáyar,4030.0,36.96
2001,Cantoria,4031.0,51.8
2001,Carboneras,4032.0,82.9
2001,Castro de Filabres,4033.0,28.57
2001,Cóbdar,4034.0,26.15
2001,Cuevas del Almanzora,4035.0,73.3
2001,Chercos,4036.0,41.22
2001,Chirivel,4037.0,47.75
2001,Dalías,4038.0,56.6
2001,Enix,4041.0,71.37
2001,Felix,4043.0,57.48
2001,Fines,4044.0,71.5
2001,Fiñana,4045.0,33.53
2001,Fondón,4046.0,86.99
2001,Gádor,4047.0,98.77
2001,"Gallardos, Los",4048.0,74.8
2001,Garrucha,4049.0,95.32
2001,Gérgal,4050.0,35.86
2001,Huécija,4051.0,72.02
2001,Huércal de Almería,4052.0,85.18
2001,Huércal-Overa,4053.0,66.55
2001,Íllar,4054.0,48.75
2001,Instinción,4055.0,49.88
2001,Laroya,4056.0,21.12
2001,Láujar de Andarax,4057.0,47.43
2001,Líjar,4058.0,46.61
2001,Lubrín,4059.0,29.77
2001,Lucainena de las Torres,4060.0,36.18
2001,Lúcar,4061.0,45.6
2001,Macael,4062.0,57.8
2001,María,4063.0,35.61
2001,Mojácar,4064.0,88.31
2001,Nacimiento,4065.0,15.81
2001,Níjar,4066.0,85.08
2001,Ohanes,4067.0,44.21
2001,Olula de Castro,4068.0,14.87
2001,Olula del Río,4069.0,62.81
2001,Oria,4070.0,37.26
2001,Padules,4071.0,40.16
2001,Partaloa,4072.0,67.75
2001,Paterna del Río,4073.0,76.67
2001,Pechina,4074.0,78.98
2001,Pulpí,4075.0,81.23
2001,Purchena,4076.0,50.18
2001,Rágol,4077.0,27.6
2001,Rioja,4078.0,46.55
2001,Roquetas de Mar,4079.0,88.17
2001,Santa Cruz de Marchena,4080.0,54.71
2001,Santa Fe de Mondújar,4081.0,35.91
2001,Senés,4082.0,37.66
2001,Serón,4083.0,35.91
2001,Sierro,4084.0,30.63
2001,Somontín,4085.0,38.59
2001,Sorbas,4086.0,49.86
2001,Suflí,4087.0,38.0
2001,Tabernas,4088.0,56.41
2001,Taberno,4089.0,51.62
2001,Tahal,4090.0,24.68
2001,Terque,4091.0,73.12
2001,Tíjola,4092.0,53.27
2001,Turre,4093.0,78.76
2001,Turrillas,4094.0,34.09
2001,Uleila del Campo,4095.0,35.6
2001,Urrácal,4096.0,44.55
2001,Velefique,4097.0,15.73
2001,Vélez-Blanco,4098.0,47.87
2001,Vélez-Rubio,4099.0,52.61
2001,Vera,4100.0,96.2
2001,Viator,4101.0,74.71
2001,Vícar,4102.0,88.11
2001,Zurgena,4103.0,64.79
2001,"Tres Villas, Las",4901.0,24.24
2001,"Ejido, El",4902.0,85.23
2001,"Mojonera, La",4903.0,70.74
2001,Balanegra,4904.0,82.65
2001,Alcalá de los Gazules,11001.0,49.35
2001,Alcalá del Valle,11002.0,56.25
2001,Algar,11003.0,44.44
2001,Algeciras,11004.0,58.49
2001,Algodonales,11005.0,51.96
2001,Arcos de la Frontera,11006.0,60.79
2001,Barbate,11007.0,56.33
2001,"Barrios, Los",11008.0,83.7
2001,Benaocaz,11009.0,78.81
2001,Bornos,11010.0,55.38
2001,"Bosque, El",11011.0,66.71
2001,Cádiz,11012.0,37.88
2001,Castellar de la Frontera,11013.0,72.2
2001,Conil de la Frontera,11014.0,77.4
2001,Chiclana de la Frontera,11015.0,83.2
2001,Chipiona,11016.0,66.08
2001,Espera,11017.0,75.72
2001,"Gastor, El",11018.0,53.5
2001,Grazalema,11019.0,61.5
2001,Jerez de la Frontera,11020.0,58.03
2001,Jimena de la Frontera,11021.0,50.64
2001,"Línea de la Concepción, La",11022.0,55.56
2001,Medina Sidonia,11023.0,65.99
2001,Olvera,11024.0,49.13
2001,Paterna de Rivera,11025.0,71.21
2001,Prado del Rey,11026.0,61.3
2001,"Puerto de Santa María, El",11027.0,67.44
2001,Puerto Real,11028.0,71.63
2001,Puerto Serrano,11029.0,68.22
2001,Rota,11030.0,69.9
2001,San Fernando,11031.0,59.04
2001,Sanlúcar de Barrameda,11032.0,66.08
2001,San Roque,11033.0,69.46
2001,Setenil de las Bodegas,11034.0,37.44
2001,Tarifa,11035.0,72.38
2001,Torre Alháquime,11036.0,54.06
2001,Trebujena,11037.0,59.61
2001,Ubrique,11038.0,50.6
2001,Vejer de la Frontera,11039.0,56.55
2001,Villaluenga del Rosario,11040.0,57.51
2001,Villamartín,11041.0,57.79
2001,Zahara,11042.0,60.48
2001,Benalup-Casas Viejas,11901.0,75.3
2001,San José del Valle,11902.0,50.92
2001,San Martín del Tesorillo,11903.0,48.63
2001,Adamuz,14001.0,47.07
2001,Aguilar de la Frontera,14002.0,57.77
2001,Alcaracejos,14003.0,54.59
2001,Almedinilla,14004.0,54.12
2001,Almodóvar del Río,14005.0,59.3
2001,Añora,14006.0,62.93
2001,Baena,14007.0,61.01
2001,Belalcázar,14008.0,21.14
2001,Belmez,14009.0,23.57
2001,Benamejí,14010.0,63.07
2001,"Blázquez, Los",14011.0,28.23
2001,Bujalance,14012.0,42.23
2001,Cabra,14013.0,60.02
2001,Cañete de las Torres,14014.0,45.17
2001,Carcabuey,14015.0,66.13
2001,Cardeña,14016.0,49.24
2001,"Carlota, La",14017.0,74.93
2001,"Carpio, El",14018.0,42.98
2001,Castro del Río,14019.0,60.11
2001,Conquista,14020.0,54.84
2001,Córdoba,14021.0,49.35
2001,Doña Mencía,14022.0,59.78
2001,Dos Torres,14023.0,55.73
2001,Encinas Reales,14024.0,49.88
2001,Espejo,14025.0,48.55
2001,Espiel,14026.0,33.08
2001,Fernán-Núñez,14027.0,60.6
2001,Fuente la Lancha,14028.0,30.23
2001,Fuente Obejuna,14029.0,41.4
2001,Fuente Palmera,14030.0,70.1
2001,Fuente-Tójar,14031.0,43.21
2001,"Granjuela, La",14032.0,38.58
2001,Guadalcázar,14033.0,65.47
2001,"Guijo, El",14034.0,30.61
2001,Hinojosa del Duque,14035.0,35.4
2001,Hornachuelos,14036.0,50.1
2001,Iznájar,14037.0,43.33
2001,Lucena,14038.0,75.33
2001,Luque,14039.0,59.94
2001,Montalbán de Córdoba,14040.0,61.9
2001,Montemayor,14041.0,62.48
2001,Montilla,14042.0,58.97
2001,Montoro,14043.0,44.71
2001,Monturque,14044.0,72.36
2001,Moriles,14045.0,58.35
2001,Nueva Carteya,14046.0,60.94
2001,Obejo,14047.0,44.23
2001,Palenciana,14048.0,74.12
2001,Palma del Río,14049.0,58.31
2001,Pedro Abad,14050.0,49.84
2001,Pedroche,14051.0,37.79
2001,Peñarroya-Pueblonuevo,14052.0,22.08
2001,Posadas,14053.0,56.3
2001,Pozoblanco,14054.0,60.53
2001,Priego de Córdoba,14055.0,60.52
2001,Puente Genil,14056.0,58.6
2001,"Rambla, La",14057.0,63.59
2001,Rute,14058.0,55.19
2001,San Sebastián de los Ballesteros,14059.0,64.03
2001,Santaella,14060.0,62.51
2001,Santa Eufemia,14061.0,48.62
2001,Torrecampo,14062.0,29.98
2001,Valenzuela,14063.0,49.47
2001,Valsequillo,14064.0,8.78
2001,"Victoria, La",14065.0,68.03
2001,Villa del Río,14066.0,51.61
2001,Villafranca de Córdoba,14067.0,70.4
2001,Villaharta,14068.0,51.76
2001,Villanueva de Córdoba,14069.0,33.0
2001,Villanueva del Duque,14070.0,59.92
2001,Villanueva del Rey,14071.0,38.34
2001,Villaralto,14072.0,30.19
2001,Villaviciosa de Córdoba,14073.0,61.41
2001,"Viso, El",14074.0,61.19
2001,Zuheros,14075.0,81.2
2001,Fuente Carreteros,14901.0,48.73
2001,"Guijarrosa, La",14902.0,66.56
2001,Agrón,18001.0,25.91
2001,Alamedilla,18002.0,29.9
2001,Albolote,18003.0,79.17
2001,Albondón,18004.0,36.61
2001,Albuñán,18005.0,48.29
2001,Albuñol,18006.0,54.88
2001,Albuñuelas,18007.0,37.57
2001,Aldeire,18010.0,40.81
2001,Alfacar,18011.0,66.38
2001,Algarinejo,18012.0,32.63
2001,Alhama de Granada,18013.0,50.57
2001,Alhendín,18014.0,83.61
2001,Alicún de Ortega,18015.0,36.25
2001,Almegíjar,18016.0,13.46
2001,Almuñécar,18017.0,63.63
2001,Alquife,18018.0,27.13
2001,Arenas del Rey,18020.0,42.92
2001,Armilla,18021.0,84.38
2001,Atarfe,18022.0,75.91
2001,Baza,18023.0,58.77
2001,Beas de Granada,18024.0,54.86
2001,Beas de Guadix,18025.0,34.55
2001,Benalúa,18027.0,45.98
2001,Benalúa de las Villas,18028.0,49.2
2001,Benamaurel,18029.0,43.97
2001,Bérchules,18030.0,26.12
2001,Bubión,18032.0,48.07
2001,Busquístar,18033.0,32.15
2001,Cacín,18034.0,30.91
2001,Cádiar,18035.0,28.25
2001,Cájar,18036.0,84.51
2001,Calicasas,18037.0,66.33
2001,Campotéjar,18038.0,53.42
2001,Caniles,18039.0,40.93
2001,Cáñar,18040.0,34.94
2001,Capileira,18042.0,37.98
2001,Carataunas,18043.0,48.74
2001,Cástaras,18044.0,21.64
2001,Castilléjar,18045.0,38.2
2001,Castril,18046.0,41.36
2001,Cenes de la Vega,18047.0,93.12
2001,Cijuela,18048.0,84.72
2001,Cogollos de Guadix,18049.0,56.61
2001,Cogollos de la Vega,18050.0,65.3
2001,Colomera,18051.0,32.25
2001,Cortes de Baza,18053.0,38.52
2001,Cortes y Graena,18054.0,29.66
2001,Cúllar,18056.0,40.33
2001,Cúllar Vega,18057.0,90.24
2001,Chauchina,18059.0,63.25
2001,Chimeneas,18061.0,36.84
2001,Churriana de la Vega,18062.0,87.6
2001,Darro,18063.0,32.49
2001,Dehesas de Guadix,18064.0,43.22
2001,Dehesas Viejas,18065.0,34.36
2001,Deifontes,18066.0,56.48
2001,Diezma,18067.0,49.45
2001,Dílar,18068.0,54.21
2001,Dólar,18069.0,36.84
2001,Dúdar,18070.0,61.97
2001,Dúrcal,18071.0,66.98
2001,Escúzar,18072.0,46.15
2001,Ferreira,18074.0,18.38
2001,Fonelas,18076.0,39.16
2001,Fornes,18077.0,54.96
2001,Freila,18078.0,51.93
2001,Fuente Vaqueros,18079.0,55.77
2001,Galera,18082.0,33.08
2001,Gobernador,18083.0,22.28
2001,Gójar,18084.0,83.43
2001,Gor,18085.0,31.58
2001,Gorafe,18086.0,28.5
2001,Granada,18087.0,43.83
2001,Guadahortuna,18088.0,50.43
2001,Guadix,18089.0,45.37
2001,Gualchos,18093.0,77.46
2001,Güéjar Sierra,18094.0,68.13
2001,Güevéjar,18095.0,81.82
2001,Huélago,18096.0,16.11
2001,Huéneja,18097.0,38.26
2001,Huéscar,18098.0,42.78
2001,Huétor de Santillán,18099.0,56.3
2001,Huétor Tájar,18100.0,67.58
2001,Huétor Vega,18101.0,79.82
2001,Íllora,18102.0,42.21
2001,Ítrabo,18103.0,56.3
2001,Iznalloz,18105.0,53.65
2001,Játar,18106.0,48.88
2001,Jayena,18107.0,45.22
2001,Jérez del Marquesado,18108.0,46.43
2001,Jete,18109.0,59.2
2001,Jun,18111.0,83.43
2001,Juviles,18112.0,36.36
2001,"Calahorra, La",18114.0,36.82
2001,Láchar,18115.0,74.76
2001,Lanjarón,18116.0,47.76
2001,Lanteira,18117.0,40.9
2001,Lecrín,18119.0,40.83
2001,Lentegí,18120.0,58.08
2001,Lobras,18121.0,27.0
2001,Loja,18122.0,60.09
2001,Lugros,18123.0,37.67
2001,Lújar,18124.0,56.32
2001,"Malahá, La",18126.0,63.28
2001,Maracena,18127.0,75.69
2001,Marchal,18128.0,38.72
2001,Moclín,18132.0,42.7
2001,Molvízar,18133.0,56.51
2001,Monachil,18134.0,73.68
2001,Montefrío,18135.0,35.67
2001,Montejícar,18136.0,35.57
2001,Montillana,18137.0,43.43
2001,Moraleda de Zafayona,18138.0,69.04
2001,Motril,18140.0,60.05
2001,Murtas,18141.0,27.75
2001,Nigüelas,18143.0,46.52
2001,Nívar,18144.0,79.05
2001,Ogíjares,18145.0,98.88
2001,Orce,18146.0,36.39
2001,Órgiva,18147.0,46.31
2001,Otívar,18148.0,39.7
2001,Villa de Otura,18149.0,86.59
2001,Padul,18150.0,71.75
2001,Pampaneira,18151.0,17.7
2001,Pedro Martínez,18152.0,19.45
2001,Peligros,18153.0,76.1
2001,"Peza, La",18154.0,35.68
2001,Pinos Genil,18157.0,75.26
2001,Pinos Puente,18158.0,40.05
2001,Píñar,18159.0,39.31
2001,Polícar,18161.0,36.36
2001,Polopos,18162.0,66.89
2001,Pórtugos,18163.0,23.92
2001,Puebla de Don Fadrique,18164.0,43.76
2001,Pulianas,18165.0,83.73
2001,Purullena,18167.0,53.46
2001,Quéntar,18168.0,37.16
2001,Rubite,18170.0,46.18
2001,Salar,18171.0,46.08
2001,Salobreña,18173.0,73.84
2001,Santa Cruz del Comercio,18174.0,40.49
2001,Santa Fe,18175.0,65.06
2001,Soportújar,18176.0,56.49
2001,Sorvilán,18177.0,37.19
2001,Torre-Cardela,18178.0,29.03
2001,Torvizcón,18179.0,23.11
2001,Trevélez,18180.0,31.69
2001,Turón,18181.0,23.02
2001,Ugíjar,18182.0,42.27
2001,Válor,18183.0,36.48
2001,Vélez de Benaudalla,18184.0,64.16
2001,Ventas de Huelma,18185.0,44.86
2001,Villanueva de las Torres,18187.0,38.21
2001,Villanueva Mesía,18188.0,57.13
2001,Víznar,18189.0,57.12
2001,Zafarraya,18192.0,50.0
2001,"Zubia, La",18193.0,83.2
2001,Zújar,18194.0,52.87
2001,"Taha, La",18901.0,24.33
2001,"Valle, El",18902.0,31.96
2001,Nevada,18903.0,35.06
2001,Alpujarra de la Sierra,18904.0,39.33
2001,"Gabias, Las",18905.0,89.15
2001,"Guájares, Los",18906.0,37.28
2001,Valle del Zalabí,18907.0,45.81
2001,Villamena,18908.0,48.0
2001,Morelábor,18909.0,29.21
2001,"Pinar, El",18910.0,36.76
2001,Vegas del Genil,18911.0,95.52
2001,Cuevas del Campo,18912.0,44.02
2001,Zagra,18913.0,45.54
2001,Valderrubio,18914.0,49.77
2001,Domingo Pérez de Granada,18915.0,37.74
2001,Torrenueva Costa,18916.0,47.03
2001,Alájar,21001.0,23.52
2001,Aljaraque,21002.0,84.82
2001,"Almendro, El",21003.0,50.73
2001,Almonaster la Real,21004.0,23.21
2001,Almonte,21005.0,68.82
2001,Alosno,21006.0,35.16
2001,Aracena,21007.0,57.79
2001,Aroche,21008.0,30.76
2001,Arroyomolinos de León,21009.0,20.98
2001,Ayamonte,21010.0,75.22
2001,Beas,21011.0,51.18
2001,Berrocal,21012.0,32.66
2001,Bollullos Par del Condado,21013.0,57.2
2001,Bonares,21014.0,52.92
2001,Cabezas Rubias,21015.0,29.04
2001,Cala,21016.0,33.44
2001,Calañas,21017.0,41.8
2001,"Campillo, El",21018.0,28.84
2001,Campofrío,21019.0,41.29
2001,Cañaveral de León,21020.0,36.45
2001,Cartaya,21021.0,75.56
2001,Castaño del Robledo,21022.0,29.76
2001,"Cerro de Andévalo, El",21023.0,33.78
2001,Corteconcepción,21024.0,33.2
2001,Cortegana,21025.0,37.7
2001,Cortelazor,21026.0,34.52
2001,Cumbres de Enmedio,21027.0,16.92
2001,Cumbres de San Bartolomé,21028.0,22.08
2001,Cumbres Mayores,21029.0,32.84
2001,Chucena,21030.0,43.63
2001,Encinasola,21031.0,12.16
2001,Escacena del Campo,21032.0,48.97
2001,Fuenteheridos,21033.0,43.57
2001,Galaroza,21034.0,33.25
2001,Gibraleón,21035.0,61.71
2001,"Granada de Río-Tinto, La",21036.0,27.88
2001,"Granado, El",21037.0,52.21
2001,Higuera de la Sierra,21038.0,45.16
2001,Hinojales,21039.0,19.5
2001,Hinojos,21040.0,62.72
2001,Huelva,21041.0,50.5
2001,Isla Cristina,21042.0,78.98
2001,Jabugo,21043.0,34.79
2001,Lepe,21044.0,75.57
2001,Linares de la Sierra,21045.0,29.49
2001,Lucena del Puerto,21046.0,60.62
2001,Manzanilla,21047.0,45.77
2001,"Marines, Los",21048.0,54.03
2001,Minas de Riotinto,21049.0,23.32
2001,Moguer,21050.0,66.72
2001,"Nava, La",21051.0,19.38
2001,Nerva,21052.0,21.7
2001,Niebla,21053.0,51.99
2001,"Palma del Condado, La",21054.0,47.98
2001,Palos de la Frontera,21055.0,63.13
2001,Paterna del Campo,21056.0,42.62
2001,Paymogo,21057.0,20.21
2001,Puebla de Guzmán,21058.0,38.73
2001,Puerto Moral,21059.0,41.07
2001,Punta Umbría,21060.0,66.59
2001,Rociana del Condado,21061.0,47.71
2001,Rosal de la Frontera,21062.0,36.89
2001,San Bartolomé de la Torre,21063.0,62.1
2001,San Juan del Puerto,21064.0,65.58
2001,Sanlúcar de Guadiana,21065.0,49.88
2001,San Silvestre de Guzmán,21066.0,41.26
2001,Santa Ana la Real,21067.0,27.74
2001,Santa Bárbara de Casa,21068.0,37.11
2001,Santa Olalla del Cala,21069.0,36.98
2001,Trigueros,21070.0,54.83
2001,Valdelarco,21071.0,16.72
2001,Valverde del Camino,21072.0,49.74
2001,Villablanca,21073.0,68.6
2001,Villalba del Alcor,21074.0,41.1
2001,Villanueva de las Cruces,21075.0,31.18
2001,Villanueva de los Castillejos,21076.0,59.43
2001,Villarrasa,21077.0,44.82
2001,Zalamea la Real,21078.0,29.9
2001,Zufre,21079.0,25.91
2001,"Zarza-Perrunal, La",21902.0,11.95
2001,Albanchez de Mágina,23001.0,27.39
2001,Alcalá la Real,23002.0,56.75
2001,Alcaudete,23003.0,42.3
2001,Aldeaquemada,23004.0,33.33
2001,Andújar,23005.0,49.68
2001,Arjona,23006.0,59.0
2001,Arjonilla,23007.0,51.73
2001,Arquillos,23008.0,44.48
2001,Baeza,23009.0,65.94
2001,Bailén,23010.0,52.52
2001,Baños de la Encina,23011.0,39.59
2001,Beas de Segura,23012.0,39.8
2001,Begíjar,23014.0,46.43
2001,Bélmez de la Moraleda,23015.0,37.93
2001,Benatae,23016.0,42.62
2001,Cabra del Santo Cristo,23017.0,37.08
2001,Cambil,23018.0,38.67
2001,Campillo de Arenas,23019.0,54.85
2001,Canena,23020.0,42.27
2001,Carboneros,23021.0,45.51
2001,"Carolina, La",23024.0,48.44
2001,Castellar,23025.0,40.99
2001,Castillo de Locubín,23026.0,38.12
2001,Cazalilla,23027.0,43.48
2001,Cazorla,23028.0,45.35
2001,Chiclana de Segura,23029.0,24.64
2001,Chilluévar,23030.0,38.77
2001,Escañuela,23031.0,32.33
2001,Espeluy,23032.0,24.66
2001,Frailes,23033.0,40.31
2001,Fuensanta de Martos,23034.0,43.94
2001,Fuerte del Rey,23035.0,44.23
2001,Génave,23037.0,43.86
2001,"Guardia de Jaén, La",23038.0,77.1
2001,Guarromán,23039.0,48.78
2001,Lahiguera,23040.0,36.87
2001,Higuera de Calatrava,23041.0,47.33
2001,Hinojares,23042.0,25.08
2001,Hornos,23043.0,30.61
2001,Huelma,23044.0,47.09
2001,Huesa,23045.0,49.07
2001,Ibros,23046.0,43.81
2001,"Iruela, La",23047.0,66.99
2001,Iznatoraf,23048.0,38.24
2001,Jabalquinto,23049.0,33.45
